exchange:okex, pre_coin:STX, post_coin:BTC, p&l:-0.00000000000000011102230246251565 BTC
exchange:binance, pre_coin:REEF, post_coin:BUSD, p&l:0.0008051242595064068 BUSD
exchange:ftx, pre_coin:SOL, post_coin:BTC, p&l:0.0037847970731836877 BTC
exchange:okex, pre_coin:CSPR, post_coin:USDT, p&l:0.005967144880578035 USDT
exchange:binance, pre_coin:SOL, post_coin:BUSD, p&l:0.07008800904558687 BUSD
exchange:okexfuturepp, pre_coin:DOT, post_coin:USD, p&l:-0.003155165757614542 USD
exchange:binance, pre_coin:ZRX, post_coin:USDT, p&l:-0.00007884079282183265 USDT
exchange:huobi, pre_coin:GRT, post_coin:BTC, p&l:0.0013789055966526576 BTC
exchange:husdtpp, pre_coin:LINA, post_coin:USDT, p&l:0.012217179016494883 USDT
exchange:huobi, pre_coin:BNT, post_coin:BTC, p&l:0.00021932229411114612 BTC
exchange:ftxfuturepp, pre_coin:REEF, post_coin:USD, p&l:-0.00923371332741485 USD
exchange:ftxfutureqt, pre_coin:UNI, post_coin:USD, p&l:-0.0016278119180466177 USD
exchange:binance, pre_coin:KSM, post_coin:USDT, p&l:-0.009429093314077597 USDT
exchange:binance, pre_coin:AUDIO, post_coin:BTC, p&l:0 BTC
exchange:huobi, pre_coin:BCH, post_coin:USDT, p&l:-0.00006467335178805822 USDT
exchange:husdtcpp, pre_coin:ATOM, post_coin:USDT, p&l:0.00726425295967692 USDT
exchange:binancefuturepp, pre_coin:SC, post_coin:USDT, p&l:-0.0002775146379153659 USDT
exchange:okex, pre_coin:XTZ, post_coin:BTC, p&l:0 BTC
exchange:husdtcpp, pre_coin:ALGO, post_coin:USDT, p&l:0.01003938093217438 USDT
exchange:ftx, pre_coin:AKRO, post_coin:USD, p&l:0.0014800234871308326 USD
exchange:huobi, pre_coin:BAL, post_coin:USDT, p&l:-0.001630577416148138 USDT
exchange:binance, pre_coin:ALPHA, post_coin:BUSD, p&l:0.01284553755746809 BUSD
exchange:huobi, pre_coin:ETC, post_coin:USDT, p&l:-0.02424944882926583 USDT
exchange:binance, pre_coin:ETH, post_coin:BTC, p&l:0 BTC
exchange:binancefuturepp, pre_coin:AVAX, post_coin:USDT, p&l:-0.0019728365876043874 USDT
exchange:okex, pre_coin:THETA, post_coin:USDT, p&l:-0.9764312195287413 USDT
exchange:binance, pre_coin:CHZ, post_coin:BTC, p&l:0.06358533129484023 BTC
exchange:huobi, pre_coin:BTM, post_coin:BTC, p&l:-0.0000000000000002220446049250313 BTC
exchange:binance, pre_coin:TRU, post_coin:BUSD, p&l:0.007891717435329237 BUSD
exchange:busdpp, pre_coin:ETC, post_coin:USD, p&l:-0.004892297182511607 USD
exchange:binance, pre_coin:MKR, post_coin:BUSD, p&l:-0.005247393557741176 BUSD
exchange:binancefutureqt, pre_coin:XRP, post_coin:USD, p&l:0.01260881129845659 USD
exchange:husdtpp, pre_coin:CVC, post_coin:USDT, p&l:-0.02082555036929834 USDT
exchange:binance, pre_coin:ZEC, post_coin:BUSD, p&l:0.005571266665083119 BUSD
exchange:binance, pre_coin:NEO, post_coin:USDT, p&l:0.005413482745856957 USDT
exchange:huobi, pre_coin:BCH, post_coin:BTC, p&l:0 BTC
exchange:okexfuturetw, pre_coin:EOS, post_coin:USD, p&l:-0.008333236765851626 USD
exchange:binance, pre_coin:RAMP, post_coin:BTC, p&l:-0.029682500793975053 BTC
exchange:okex, pre_coin:DGB, post_coin:BTC, p&l:0.0083390227806599 BTC
exchange:ftx, pre_coin:UNI, post_coin:USD, p&l:-0.007008368498686801 USD
exchange:okexfuturepp, pre_coin:ETH, post_coin:USD, p&l:0.00027078399932034536 USD
exchange:ftx, pre_coin:ENJ, post_coin:USD, p&l:0.026158797526346866 USD
exchange:okex, pre_coin:CEL, post_coin:USDT, p&l:0.04470483504020284 USDT
exchange:binance, pre_coin:RVN, post_coin:BUSD, p&l:-0.013765048326693563 BUSD
exchange:binance, pre_coin:RUNE, post_coin:BTC, p&l:-0.016886075322826044 BTC
exchange:okex, pre_coin:1INCH, post_coin:USDT, p&l:0.009608179817246265 USDT
exchange:binance, pre_coin:BNT, post_coin:BUSD, p&l:-0.0012664646236406618 BUSD
exchange:okex, pre_coin:BTT, post_coin:BTC, p&l:0 BTC
exchange:ftxfuturetw, pre_coin:ATOM, post_coin:USD, p&l:0.012115495903954665 USD
exchange:binancefuturepp, pre_coin:THETA, post_coin:USDT, p&l:0.021828337452058255 USDT
exchange:okex, pre_coin:PERP, post_coin:USDT, p&l:-0.003011497079381198 USDT
exchange:ftxfutureqt, pre_coin:WAVES, post_coin:USD, p&l:-0.007094672136428337 USD
exchange:husdtpp, pre_coin:GRT, post_coin:USDT, p&l:-0.018616736583103255 USDT
exchange:okex, pre_coin:UNI, post_coin:USDT, p&l:-0.004670743377608533 USDT
exchange:binancefuturepp, pre_coin:BAT, post_coin:USDT, p&l:-0.006189253665436989 USDT
exchange:husdtpp, pre_coin:ONT, post_coin:USDT, p&l:0.0109557357089749 USDT
exchange:husdtpp, pre_coin:AAVE, post_coin:USDT, p&l:-0.02100624881435753 USDT
exchange:ftxfuturepp, pre_coin:BTT, post_coin:USD, p&l:-0.020936227900946403 USD
exchange:busdpp, pre_coin:EOS, post_coin:USD, p&l:-0.0001989418500212281 USD
exchange:huobi, pre_coin:UNI, post_coin:USDT, p&l:0.0030463661635056205 USDT
exchange:huobifuturetw, pre_coin:LTC, post_coin:USD, p&l:0.0005634093948181373 USD
exchange:husdtcpp, pre_coin:SNX, post_coin:USDT, p&l:0.0176196598948537 USDT
exchange:husdtcpp, pre_coin:STORJ, post_coin:USDT, p&l:0.002346126794839254 USDT
exchange:binance, pre_coin:HOT, post_coin:USDT, p&l:0.005618282628246485 USDT
exchange:huobifuturetw, pre_coin:ETH, post_coin:USD, p&l:-0.008247852986813298 USD
exchange:ftxfutureqt, pre_coin:OMG, post_coin:USD, p&l:0 USD
exchange:ftx, pre_coin:TOMO, post_coin:USD, p&l:-0.01072021821616076 USD
exchange:huobi, pre_coin:MDX, post_coin:USDT, p&l:0 USDT
exchange:ftx, pre_coin:BNB, post_coin:USD, p&l:0.01907686322569835 USD
exchange:ftxfutureqt, pre_coin:YFI, post_coin:USD, p&l:-0.012343789257650228 USD
exchange:ftxfuturepp, pre_coin:HBAR, post_coin:USD, p&l:-0.0336141970328776 USD
exchange:husdtcpp, pre_coin:FIL, post_coin:USDT, p&l:0.005071519267804581 USDT
exchange:husdtpp, pre_coin:REN, post_coin:USDT, p&l:-0.0022406352881395586 USDT
exchange:binancefuturepp, pre_coin:BLZ, post_coin:USDT, p&l:-0.018677415768296624 USDT
exchange:binancefuturepp, pre_coin:FTM, post_coin:USDT, p&l:-0.00713407768415697 USDT
exchange:huobi, pre_coin:ZRX, post_coin:BTC, p&l:0 BTC
exchange:okexfuturepp, pre_coin:BCH, post_coin:USD, p&l:-0.0011153896213573766 USD
exchange:okex, pre_coin:XEM, post_coin:BTC, p&l:0 BTC
exchange:okex, pre_coin:SC, post_coin:BTC, p&l:-0.0035087719298246833 BTC
exchange:ftxfuturepp, pre_coin:OKB, post_coin:USD, p&l:0.016992099064888633 USD
exchange:binance, pre_coin:YFI, post_coin:BUSD, p&l:-0.01653668661838137 BUSD
exchange:binance, pre_coin:ANT, post_coin:USDT, p&l:0.0026980243321883535 USDT
exchange:binance, pre_coin:AR, post_coin:BTC, p&l:-0.013079225296017793 BTC
exchange:bitmexqt, pre_coin:XRP, post_coin:BTC, p&l:-0.00000000000000011102230246251565 BTC
exchange:binance, pre_coin:AAVE, post_coin:USDT, p&l:-0.01847927798829374 USDT
exchange:okex, pre_coin:ZIL, post_coin:USDT, p&l:-0.004229331803972225 USDT
